nom_iris,code_iris,DISP_MED21,dist_to_green
Sainte-Marguerite 10,751114410,30030,381.31
Bel-Air 4,751124504,31900,353.08
Picpus 8,751124608,32970,355.02
Salpêtrière 2,751134902,24500,177.18
Salpêtrière 3,751134903,30730,306.84
Gare 9,751135009,24190,378.47
Gare 14,751135014,24150,250.72
Gare 18,751135018,27810,192.64
Gare 26,751135026,21000,0.0
Gare 27,751135027,19350,190.2
Gare 29,751135029,23900,30.0
Maison Blanche 3,751135103,23530,24.93
Maison Blanche 4,751135104,22770,320.64
Maison Blanche 9,751135109,19460,131.42
Maison Blanche 13,751135113,30380,237.52
Maison Blanche 19,751135119,18610,0.0
Croulebarbe 1,751135201,34370,178.8
Croulebarbe 6,751135206,37330,208.98
Petit Montrouge 12,751145512,34410,250.26
Plaisance 8,751145608,30500,190.24
Plaisance 14,751145614,29280,213.9
Plaisance 16,751145616,27330,203.6
Plaisance 23,751145623,31680,282.92
Saint-Lambert 3,751155703,28460,94.35
Saint-Lambert 12,751155712,34020,220.47
Saint-Lambert 22,751155722,37940,190.63
Necker 5,751155805,33500,0.0
Necker 12,751155812,44830,267.83
Necker 13,751155813,50030,137.3
Grenelle 15,751155915,35390,51.47
Javel 1,751156001,18460,247.68
Javel 6,751156006,31730,9.64
Auteuil 13,751166113,43680,855.67
Auteuil 16,751166116,41830,645.96
Muette 3,751166203,48400,529.12
Muette 8,751166208,59150,317.0
Muette 17,751166217,46740,645.16
Chaillot 1,751166401,42560,15.58
Ternes 2,751176502,53190,408.45
Ternes 3,751176503,42330,498.39
Ternes 9,751176509,49890,377.56
Les Archives 2,751031102,36350,173.16
Plaine Monceau 1,751176601,47090,244.76
Épinettes 10,751176810,33420,13.47
Les Archives 4,751031104,39460,30.96
Grandes Carrières 5,751186905,30790,127.64
Grandes Carrières 8,751186908,33120,170.34
Clignancourt 8,751187008,39300,0.0
Saint-Merri 3,751041303,31030,335.72
Clignancourt 14,751187014,27220,297.56
Saint-Gervais 1,751041401,24750,29.53
Clignancourt 17,751187017,22750,479.27
Odéon 4,751062204,39910,224.97
Chapelle 4,751187204,23910,187.0
Saint-Thomas d'Aquin 1,751072501,51140,338.76
Chapelle 5,751187205,21190,57.75
École Militaire 4,751072704,48090,149.99
Villette 4,751197304,25490,280.14
École Militaire 6,751072706,40240,138.87
Villette 5,751197305,27230,4.82
Europe 7,751083207,43720,489.13
Villette 7,751197307,17860,317.67
Saint-Georges 5,751093305,44430,537.0
Amérique 1,751197501,24880,335.82
Saint-Georges 8,751093308,30770,531.02
Amérique 13,751197513,18690,0.0
Rochechouart 4,751093604,37550,371.79
Amérique 14,751197514,35060,400.89
Rochechouart 6,751093606,39070,258.24
Amérique 17,751197517,18360,242.06
Saint-Vincent de Paul 1,751103701,32510,381.87
Combat 2,751197602,30280,251.93
Porte Saint-Denis 6,751103806,35840,116.66
Combat 8,751197608,24130,279.9
Folie Méricourt 6,751114106,33750,215.8
Belleville 5,751207705,20660,132.66
Folie Méricourt 10,751114110,20220,422.63
Belleville 12,751207712,26420,504.01
Saint-Ambroise 3,751114203,34350,195.58
Saint-Fargeau 1,751207801,18920,28.91
Saint-Ambroise 11,751114211,33320,256.41
Saint-Fargeau 5,751207805,29300,138.55
Roquette 20,751114320,26930,172.93
Saint-Fargeau 8,751207808,23720,352.09
Sainte-Marguerite 1,751114401,37110,340.99
Père Lachaise 14,751207914,31250,113.96
Sainte-Marguerite 6,751114406,31400,68.22
Charonne 11,751208011,16680,246.21
Sainte-Marguerite 11,751114411,28620,127.49
Charonne 18,751208018,21520,41.64
Sainte-Marguerite 12,751114412,30790,42.11
Charonne 20,751208020,16060,133.82
Sainte-Marguerite 13,751114413,35420,338.81
Charonne 23,751208023,23250,72.85
Bel-Air 6,751124506,35740,207.46
Charonne 24,751208024,27090,27.13
Bel-Air 7,751124507,29880,184.36
Picpus 10,751124610,33810,365.91
Quinze-Vingts 9,751124809,31840,214.55
Gare 19,751135019,26650,332.83
Gare 21,751135021,27950,404.76
Maison Blanche 5,751135105,30670,380.14
Maison Blanche 17,751135117,26900,323.19
Maison Blanche 20,751135120,31560,231.99
Maison Blanche 22,751135122,35580,268.12
Maison Blanche 23,751135123,29560,188.19
Montparnasse 1,751145301,30870,322.28
Montparnasse 9,751145309,40980,206.7
Parc de Montsouris 5,751145405,29460,490.99
Petit Montrouge 1,751145501,19730,309.75
Petit Montrouge 6,751145506,37720,597.52
Plaisance 1,751145601,21020,196.21
Plaisance 5,751145605,29260,97.68
Plaisance 18,751145618,21310,14.05
Saint-Lambert 27,751155727,27560,0.0
Necker 8,751155808,41400,428.01
Necker 9,751155809,42190,354.65
Necker 10,751155810,29410,428.2
Grenelle 2,751155902,36750,350.81
Grenelle 5,751155905,37890,366.12
Grenelle 6,751155906,39290,221.88
Grenelle 19,751155919,32820,245.01
Javel 2,751156002,37600,87.46
Auteuil 3,751166103,30800,392.63
Auteuil 15,751166115,34910,382.08
Auteuil 26,751166126,47900,189.81
Ternes 5,751176505,25660,82.41
Plaine Monceau 14,751176614,24120,188.24
Batignolles 8,751176708,36150,412.14
Batignolles 12,751176712,40910,0.0
Batignolles 15,751176715,42180,156.84
Épinettes 6,751176806,25500,11.33
Épinettes 7,751176807,30770,285.66
Grandes Carrières 1,751186901,30050,175.81
Grandes Carrières 2,751186902,28000,390.71
Clignancourt 10,751187010,29530,399.73
Clignancourt 23,751187023,17390,228.6
Goutte d'Or 7,751187107,21840,519.83
Chapelle 2,751187202,23030,292.45
Villette 6,751197306,16360,56.68
Villette 14,751197314,20510,213.77
Villette 15,751197315,24590,470.75
Pont de Flandre 5,751197405,19910,165.8
Amérique 4,751197504,18120,249.34
Amérique 12,751197512,16880,78.59
Combat 9,751197609,28430,89.52
Combat 14,751197614,26900,348.21
Saint-Fargeau 9,751207809,27980,26.93
Charonne 13,751208013,24640,297.37
Palais Royal 1,751010301,37570,416.61
Arts et Métiers 4,751030904,29560,276.04
Enfants Rouges 1,751031001,34530,328.76
Enfants Rouges 2,751031002,37440,142.63
Saint-Gervais 2,751041402,32540,165.3
Notre-Dame 1,751041601,38100,318.33
Monnaie 2,751062102,33650,211.38
Notre-Dame des Champs 3,751062303,44360,294.7
Gros Caillou 2,751072802,42420,237.87
Faubourg Montmartre 3,751093503,39170,241.01
Rochechouart 9,751093609,37020,86.85
Saint-Vincent de Paul 8,751103708,29790,181.81
Porte Saint-Denis 1,751103801,32720,174.66
Porte Saint-Martin 1,751103901,29430,129.63
Porte Saint-Martin 3,751103903,35120,354.21
Porte Saint-Martin 7,751103907,31170,430.49
Folie Méricourt 13,751114113,28140,45.23
Saint-Ambroise 2,751114202,29170,405.81
Roquette 7,751114307,28400,330.45
Roquette 8,751114308,27750,236.55
Roquette 10,751114310,36790,324.59
Roquette 12,751114312,34370,241.64
Roquette 15,751114315,29840,327.19
Roquette 16,751114316,30070,354.1
Sainte-Marguerite 9,751114409,30480,16.68
Bel-Air 3,751124503,30210,0.0
Bel-Air 8,751124508,34530,289.12
Bel-Air 14,751124514,35940,145.84
Bercy 3,751124703,25980,563.77
Salpêtrière 6,751134906,34540,297.4
Maison Blanche 1,751135101,19380,293.38
Maison Blanche 2,751135102,23170,0.0
